Nir_610nm,Nir_680nm,Nir_730nm,Nir_760nm,Nir_810nm,Nir_860nm,Blood_Prediction
2965.919482,55.75116425,71.83078156,219.6650238,2457.459131,1744.986987,0
2972.264502,56.88894272,74.83335266,232.3032837,2482.459375,1752.719067,0
2999.167432,58.59561005,79.22173004,247.7500458,2527.914355,1778.743896,0
2993.330029,57.17338715,75.75722351,231.7014618,2510.76543,1769.126001,0
2987.23877,56.32005386,75.29528809,227.8899231,2504.773682,1761.959766,0
3006.527637,58.59561081,78.99076233,243.5372925,2536.798731,1779.498242,0
3008.811865,58.88005524,82.22430115,250.3579407,2563.658447,1785.155859,0
3013.126465,58.88005524,83.84107361,253.5676636,2576.881689,1783.45857,0
3031.400146,60.58672409,86.84364471,262.7955963,2601.05542,1805.145972,0
3047.897217,60.87116928,89.84621735,270.4186707,2634.733447,1821.930102,0
3026.070361,141.937915,94.92749634,499.9134399,2179.77085,1699.349194,0
3014.395508,145.6356934,96.54426575,506.1322693,2178.737793,1691.617163,0
3004.243408,147.6268036,100.4707062,521.1778198,2189.275049,1685.016602,0
3015.410693,153.6001434,104.1661804,535.0197388,2207.870264,1684.073682,0
3010.334668,151.6090271,103.0113449,531.0075928,2202.498389,1684.828028,0
3013.380273,152.1779205,105.7829513,538.0288574,2214.068652,1684.450879,0
3010.334668,154.1690338,105.5519851,539.2324951,2209.523193,1683.130762,0
3016.17207,156.7290405,107.6306885,548.4604126,2220.26709,1687.468286,0
3034.69956,156.4445923,105.5519821,539.4330933,2218.200928,1691.428589,0
3040.537012,151.0401428,103.9352127,530.8069824,2221.713379,1698.594824,0
3057.034082,154.7379242,109.0164902,546.4543579,2250.019336,1704.063794,0
3049.927637,149.9023621,106.013919,533.8161133,2240.308545,1701.423608,0
3053.734619,155.0223694,106.2448868,540.6367432,2239.068896,1705.761059,0
3067.439892,157.5823761,107.6306885,547.457373,2248.986328,1713.115942,0
3058.810645,155.5912597,106.7068191,543.6458496,2241.341602,1706.892603,0
3053.734619,154.1690338,104.6281143,537.0258057,2231.217578,1705.195313,0
3067.439941,157.2979309,107.8616562,547.4573975,2245.887207,1709.532813,0
3076.322949,157.2979309,108.7855225,549.4634644,2256.217822,1715.944775,0
3067.439892,157.0134857,107.8616562,546.8555664,2252.705371,1713.870288,0
3069.977881,159.004599,110.1713257,553.6762085,2265.515381,1718.396362,0
2839.526562,914.4897615,763.3463928,2062.443897,3135.150928,1711.230103,0
2976.071484,121.742337,263.7644775,912.9639404,3016.761523,1753.284815,0
2992.822363,126.0090088,261.9167358,916.3742554,3008.496924,1769.503198,0
2997.137012,119.466777,257.528363,894.1068359,2986.182764,1779.121069,0
3008.811816,132.2667938,261.4548035,935.8331665,2999.819238,1787.796021,0
3011.096094,142.5068024,259.8380371,952.88479,2991.141455,1792.13352,0
3004.243408,143.360138,254.5257904,936.8362182,2967.174316,1788.550415,0
3008.558008,140.8001312,256.1425537,941.4501709,2982.050488,1789.870508,0
3008.304297,142.5068024,254.5257843,936.8362061,2975.438867,1788.55039,0
3012.618896,148.7645874,258.9141632,963.5169678,2990.934815,1793.076465,0
