Vis_450nm,Vis_500nm,Vis_550nm,Vis_570nm,Vis_600nm,Vis_650nm,Blood_Prediction
2170.891602,62.27967834,26.58833504,16.65921726,103.9241562,29.85580063,0
2164.806787,62.27967834,26.58833504,16.84639931,104.5295395,30.09464684,0
2157.062451,62.27967834,26.58833504,16.65921726,104.5295395,29.85580063,0
2161.764404,62.07548294,26.58833504,16.47203522,107.7582504,29.61695404,0
2165.08335,62.27967834,26.58833504,16.47203522,105.3367172,29.85580063,0
2160.934668,61.87128753,26.58833504,16.47203522,108.7672241,29.85580063,0
2163.423877,62.27967834,26.58833504,16.47203522,103.3187729,29.85580063,0
2163.423877,62.27967834,26.58833504,16.84639931,104.3277451,29.85580063,0
2155.402978,62.07548294,26.58833504,16.28485317,104.9331283,29.85580063,0
2158.722021,62.07548294,26.58833504,16.47203522,105.7403061,30.09464684,0
2148.765039,62.27967834,26.58833504,16.47203522,103.9241562,30.33349304,0
2147.935254,62.27967834,26.58833504,16.47203522,106.143895,31.05003166,0
2152.360596,62.07548294,26.58833504,16.28485317,105.5385117,30.57233925,0
2142.403613,62.07548294,26.58833504,15.91048908,107.3546631,30.33349304,0
2147.658691,62.27967834,26.58833504,16.47203522,104.9331284,31.05003166,0
2150.147998,62.27967834,26.58833504,16.28485317,104.9331284,30.57233925,0
2150.424561,62.27967834,26.58833504,16.28485317,105.7403061,31.05003166,0
1744.125635,106.3859421,18.29277535,25.83114662,94.84340668,56.12890244,0
1816.313525,77.79854736,18.08006859,21.5259552,98.47570648,55.65121079,0
1784.230029,77.59435272,18.08006859,21.5259552,101.9062134,56.12890244,0
1777.592065,79.43211212,18.08006859,21.90031967,98.47570648,56.12890244,0
1763.209815,81.2698761,18.08006859,22.46186638,99.68647309,56.12890244,0
1762.656665,80.45309143,18.08006859,22.27468414,97.46673431,56.12890244,0
1760.720557,80.86148376,18.08006859,22.08750191,99.28288423,56.12890244,0
1751.04021,82.90344086,18.08006859,22.46186638,97.26493988,56.12890244,0
1734.445288,84.94539795,18.08006859,22.46186638,98.47570649,56.12890244,0
1738.594019,83.51602631,18.08006859,22.46186638,97.06314545,56.12890244,0
1722.828858,83.51602631,17.44194832,22.08750191,97.46673432,56.12890244,0
1715.63772,82.49504852,17.01653481,21.5259552,97.46673432,56.12890244,0
1707.063696,82.90344086,17.01653481,21.90031967,97.26493988,56.12890244,0
1698.766235,82.08665619,17.22924157,21.71313744,100.090062,56.12890244,0
1697.106738,84.33280945,17.01653481,21.90031967,98.27391205,56.12890244,0
1712.31875,81.88246307,17.65465508,21.90031967,97.66852876,56.12890244,0
1693.511157,88.41672058,17.01653481,22.46186638,98.27391206,56.36774903,0
1693.511157,85.55798492,17.01653481,22.08750191,97.06314545,56.12890244,0
1688.53269,85.76217804,17.01653481,22.08750191,97.06314545,56.12890244,0
1674.427026,86.57896271,17.01653481,22.46186638,97.66852875,56.12890244,0
1444.310815,60.44191742,15.95300102,14.4130312,80.51599884,44.66427765,0
1382.356494,60.85030823,15.52758789,13.85148449,82.13035736,45.38081665,0
1361.612842,60.23772125,15.10217476,13.85148449,81.32317658,45.14197082,0
1374.33562,59.62513428,15.31488132,13.85148449,81.52497406,44.66427765,0
1359.400195,59.42093887,15.10217476,13.85148449,81.12138367,45.38081741,0
1353.591992,60.03352509,14.88946819,14.03866673,81.9285614,45.38081741,0
1344.741309,60.23772049,14.88946819,14.03866673,81.52497253,45.14197082,0
1343.08186,60.23772049,15.10217476,14.03866673,81.52497253,45.38081741,0
1345.571094,59.62513428,14.88946819,13.66430226,81.3231781,44.66427765,0
1335.890723,60.23772049,14.88946819,14.03866673,80.51599731,45.38081741,0
1342.528687,59.42093887,14.88946819,13.85148449,80.91958771,44.66427765,0
1301.317993,59.62513428,15.95300102,13.85148449,76.48010559,42.75350494,0
1301.041406,57.78737411,15.10217476,13.10275555,77.28728332,42.51465835,0
1268.404736,57.99156952,14.88946819,13.10275555,76.48010712,42.51465835,0
1275.872485,57.37898254,14.88946819,13.10275555,76.48010559,42.51465835,0
1262.596533,57.99157028,14.88946819,13.10275555,76.68190002,42.51465835,0
1270.340796,57.37898254,14.88946819,13.10275555,77.08548889,42.27581177,0
1262.043335,57.99157028,14.88946819,13.10275555,76.27831116,42.51465835,0
1259.000952,57.99157028,14.88946819,13.10275555,78.09446259,42.75350494,0
1261.766773,57.99156952,14.88946819,13.10275555,77.28728485,42.75350494,0
1774.549682,84.74120025,29.14081612,26.39269333,77.08548889,44.18658447,0
1777.868677,89.64189605,29.77893639,27.14142227,77.89266663,44.90312423,0
1768.464844,94.13420258,29.77893639,27.89015121,79.70881805,44.90312423,0
1769.571216,95.76776886,29.77893639,28.07733345,78.49805145,45.38081741,0
1765.422461,98.0139206,29.77893639,28.07733345,78.09446258,45.38081741,0
1765.975635,96.99294129,29.77893639,28.26451569,78.09446106,45.38081741,0
1760.997144,100.4642685,29.56622963,28.45169792,78.69984589,45.38081741,0
1757.678198,100.6684662,29.77893639,28.26451569,76.88369446,45.38081741,0
1757.125025,105.9775513,29.77893639,29.01324463,76.27831116,45.38081741,0
1761.550342,107.6111176,30.2043499,29.57479134,77.08548889,45.38081741,0
1766.528808,112.9202042,30.84247017,29.94915581,78.09446106,45.38081741,0
1760.720557,115.3705521,30.62976341,30.32352028,77.48907776,45.38081741,0
1760.167407,113.9411819,30.41705666,30.13633805,79.30522919,45.38081741,0
1767.635156,112.5118134,30.84247017,29.94915581,78.90164184,45.38081741,0
1769.294629,115.1663559,30.84247017,30.69788475,77.48907776,45.38081741,0
