Average,Ratio,Blood_Prediction
1293.75,0.142137104,0
1360.5,0.138395332,0
1437.25,0.144584305,0
1409.5,0.134592198,0
1393.75,0.144683549,0
569,0.106491171,0
563.5,0.073774548,0
556.25,0.078538172,0
590.5,0.126933096,0
576.75,0.068792716,0
610.75,0.137318085,0
624.25,0.103971403,0
587,0.118209502,0
619.25,0.101313325,0
592.25,0.090516891,0
584.75,0.092716112,0
556,0.076805266,0
582,0.081347144,0
573.25,0.070965623,0
548,0.080858203,0
744.25,0.813727121,0
846.75,0.963846485,0
824,0.916330892,0
772.75,0.864161859,0
772.5,0.932651229,0
1401.75,0.718956195,0
1468.75,0.496280702,0
1429.75,0.626412793,0
1390,0.551227142,0
1402,0.538644807,0
1464.5,0.64904268,0
1423.5,0.626397065,0
1374.25,0.536497828,0
1422,0.592209404,0
1472.75,0.604472574,0
1563.25,0.600924885,0
1462.5,0.566167327,0
1387.75,0.500744216,0
1529.5,0.600030911,0
7547,0.624696847,0
7373.75,0.59780711,0
7353.25,0.59890318,0
7344.75,0.574331689,0
7611.25,0.598242615,0
7470.5,0.601815446,0
7583.25,0.584191795,0
7556.5,0.616956787,0
7529,0.589639229,0
7636.5,0.621741706,0
7605.25,0.591549175,0
7446,0.604219604,0
7545.75,0.599677561,0
7507.25,0.61421019,0
7511,0.592009195,0
9218.5,0.674866816,0
8934.75,0.770829322,0
8999.5,0.718789869,0
8755.25,0.715218948,0
9492,0.714738765,0
8562.5,0.663043661,0
9011.75,0.670864059,0
8993.5,0.686933418,0
9282.5,0.678189839,0
8530.25,0.644165117,0
9284.75,0.699830026,0
8999,0.670622843,0
8971.5,0.63037165,0
8978.75,0.716174532,0
8869,0.670093557,0
9257.5,0.654828546,0
8917,0.630634151,0
9174.75,0.65590669,0
8643.25,0.649472579,0
8981.5,0.675313056,0
8791.75,0.732691099,0
8905.75,0.644188939,0
8784.5,0.628727382,0
9255.25,0.637519226,0
425.75,0.32572123,0
479.25,0.320455879,0
546.75,0.469776517,0
431,0.191699085,0
437.5,0.16965051,0
427.75,0.258415342,0
505.5,0.207561304,0
467,0.255606456,0
460.75,0.342285473,0
519,0.258941159,0
510,0.224195191,0
417,0.121421792,0
453.75,0.378561444,0
429.25,0.211413397,0
465.75,0.289935907,0
493,0.176820018,0
457.75,0.231161472,0
460,0.3463652,0
393.25,0.127080168,0
440.5,0.276056401,0
308.25,1.348575908,0
327,1.344010176,0
480,1.310662148,0
490.5,1.232615586,0
433.5,1.293850807,0
474,1.323817248,0
494.25,1.288491222,0
385.5,1.346997498,0
412.5,1.341123188,0
545.25,1.224743695,0
570.75,1.231166151,1
538.5,1.149937243,1
555.75,1.117195664,1
