Vis_450nm,Vis_500nm,Vis_550nm,Vis_570nm,Vis_600nm,Vis_650nm,Nir_610nm,Nir_680nm,Nir_730nm,Nir_760nm,Nir_810nm,Nir_860nm,Blood_Prediction
2168.125781,63.30065537,26.8010418,16.84639931,104.5295395,30.81118545,4494.309668,270.5069214,506.9728699,1326.415601,3626.477441,1917.354688,0
2170.891553,62.27967834,26.58833504,16.84639931,105.9421005,30.33349304,4501.923633,231.2535553,509.0515747,1207.856689,3703.750928,1869.830981,0
2170.891602,62.27967834,26.58833504,16.65921726,103.9241562,29.85580063,4515.882715,236.9424469,508.5896362,1224.306519,3695.073096,1878.128784,0
2164.806787,62.27967834,26.58833504,16.84639931,104.5295395,30.09464684,4485.680371,242.0624481,514.1328552,1248.580005,3686.602051,1867.56792,0
2157.062451,62.27967834,26.58833504,16.65921726,104.5295395,29.85580063,4493.548242,256.2846863,527.9908813,1297.728784,3710.155957,1875.111401,0
2161.764404,62.07548294,26.58833504,16.47203522,107.7582504,29.61695404,4480.604297,256.2846832,529.8386109,1299.133008,3709.536133,1868.32229,0
2165.08335,62.27967834,26.58833504,16.47203522,105.3367172,29.85580063,4476.797461,256.0002441,530.5315186,1298.531201,3708.296387,1866.436426,0
2160.934668,61.87128753,26.58833504,16.47203522,108.7672241,29.85580063,4472.990332,255.7157959,530.5315186,1298.531201,3709.122901,1864.927759,0
2163.423877,62.27967834,26.58833504,16.47203522,103.3187729,29.85580063,4470.959864,255.7157989,530.9934571,1296.725732,3710.155908,1863.984839,0
2163.423877,62.27967834,26.58833504,16.84639931,104.3277451,29.85580063,4469.690821,255.1469086,529.3766724,1294.117871,3705.197168,1863.796265,0
2155.402978,62.07548294,26.58833504,16.28485317,104.9331283,29.85580063,4469.690821,254.5780182,530.0695801,1294.719653,3707.05669,1865.116357,0
2158.722021,62.07548294,26.58833504,16.47203522,105.7403061,30.09464684,4469.437012,255.7157989,531.2244263,1297.92937,3710.3625,1864.362012,0
2148.765039,62.27967834,26.58833504,16.47203522,103.9241562,30.33349304,4469.944629,256.5691253,531.917334,1300.737891,3709.742676,1866.247827,0
2147.935254,62.27967834,26.58833504,16.47203522,106.143895,31.05003166,4472.482715,255.7157989,532.6102417,1300.33667,3711.808789,1865.870654,0
2152.360596,62.07548294,26.58833504,16.28485317,105.5385117,30.57233925,4472.990332,256.5691314,532.6102417,1303.14519,3710.982373,1867.56792,0
2142.403613,62.07548294,26.58833504,15.91048908,107.3546631,30.33349304,4472.736524,256.8535705,533.0721802,1302.94458,3711.602246,1867.002148,0
2147.658691,62.27967834,26.58833504,16.47203522,104.9331284,31.05003166,4475.27461,258.2757934,532.6102417,1304.348804,3711.808789,1869.453784,0
2150.147998,62.27967834,26.58833504,16.28485317,104.9331284,30.57233925,4478.573926,256.5691284,533.0721802,1302.342749,3713.255127,1869.076587,0
2150.424561,62.27967834,26.58833504,16.28485317,105.7403061,31.05003166,4481.873242,256.5691284,534.2269898,1303.947608,3718.627099,1870.20813,0
1744.125635,106.3859421,18.29277535,25.83114662,94.84340668,56.12890244,3895.339013,166.6846069,337.2120239,1173.352246,3549.617432,1910.376978,0
1816.313525,77.79854736,18.08006859,21.5259552,98.47570648,55.65121079,3868.436133,181.7601715,350.1461853,1214.877954,3550.237207,1892.272729,0
1784.230029,77.59435272,18.08006859,21.5259552,101.9062134,56.12890244,3855.238428,188.3023987,353.379718,1229.923511,3545.898291,1888.878174,0
